Date,sku_id,unit_sold,unit_price,nap,customer_city,customer_type
2024-11-15,BXCM3690,1,642.5,01824,Chelmsford,
2024-11-15,BXCM1606,1,395.0,20816,bethesda,
2024-11-16,BXCM4528,2,202.5,46060-4000,Noblesville,B2B
2024-11-16,BXCM4493,1,697.5,34957-2340,Jensen Beach,
2024-11-16,BXCM4489,1,1242.0,34957-2340,Jensen Beach,
2024-11-17,BXCL1609,1,422.5,78257,San Antonio,
2024-11-17,BXCM1784,1,422.5,63131-3259,Frontenac,
2024-11-18,BXCM4493,1,697.5,33404-7235,Riviera Beach,B2B
2024-11-18,BXCL1665,1,598.5,48035,Clinton Township,
2024-11-19,BXCM5491,1,1654.5,05758,Mount Holly,
2024-11-19,BXCL1150,1,285.0,90049-2608,Los Angeles,
2024-11-19,BXCM1676,2,578.25,30143,Jasper,
2024-11-19,BXCL1645,1,746.55,18901-4895,Doylestown,
2024-11-19,BXCM1657,1,400.05,49240-8502,Grass Lake,
2024-11-19,BXCL1292,1,1068.3,10019-5162,New York,
2024-11-19,BXCM4491,1,944.55,97138,Gearhart,
2024-11-19,BXCM4244,1,400.05,G2G 0E4,Quebec,
2024-11-19,BXCM1782,1,251.55,33913,Fort Myers,
2024-11-19,BXCM4491,1,944.55,91941-6941,La Mesa,
2024-11-20,BXCM3765,1,1013.85,73077-8438,Perry,
2024-11-20,BXCM3907,1,1771.2,07676-5108,Township of Washington,
2024-11-20,BXCM4792,1,924.75,46077-1344,Zionsville,
2024-11-20,BXCL1727,2,419.85,33064,Lighthouse Point,
2024-11-20,BXCM5416,2,786.15,33432-3934,Boca Raton,B2B
2024-11-20,BXCM5416,2,786.15,34243-4165,Sarasota,B2B
2024-11-20,BXCM5416,1,786.15,34108-2899,Naples,B2B
2024-11-20,BXCM5416,2,786.15,33607-7229,Tampa,B2B
2024-11-21,BXCM4734,1,285.0,34104-4221,Naples,B2B
2024-11-21,BXCM2380,1,306.0,34482-4819,Ocala,
2024-11-21,BXCM4608,1,805.95,29464-4307,Mount Pleasant,
2024-11-21,BXCM5377,1,15.0,43025-9303,Hebron,SP
2024-11-21,BXCM5368,1,15.0,43025-9303,Hebron,SP
2024-11-21,BXCM5363,1,15.0,43025-9303,Hebron,SP
2024-11-21,BXCM3768,1,464.4,28715,Candler,
2024-11-22,BXCM3797,1,1112.85,32550-8226,Miramar Beach,B2B
2024-11-22,BXCM5155,1,499.05,33178-2559,MIAMI,B2B
2024-11-22,BXCM4493,1,627.75,34114,Naples,
2024-11-22,BXCM3765,1,895.05,34996-2918,Stuart,
2024-11-23,BXCM4869,6,449.55,02645-1944,Harwich,B2B
2024-11-23,BXCM5155,1,499.05,77019-3422,Houston,
2024-11-23,BXCM1806,2,271.35,45504-1045,SPRINGFIELD,
2024-11-23,BXCM4490,1,355.5,33455-3852,Hobe Sound,B2B
2024-11-23,BXCM5157,1,938.83,34250,Terra Ceia,
2024-11-23,BXCM4215,1,1013.85,83025,Teton Village,B2B
2024-11-23,BXCM5365,1,15.0,33477-2301,Jupiter,SP
2024-11-23,BXCM5367,1,15.0,33477-2301,Jupiter,SP
2024-11-24,BXCM5353,1,15.0,34135-2809,Bonita Springs,SP
2024-11-24,BXCM1657,1,400.05,49935-7915,Iron River,B2B
2024-11-24,BXCL1150,1,256.5,23435-3529,Suffolk,
2024-11-24,BXCM1606,1,355.5,01945-1029,Marblehead,
2024-11-25,BXCL1609,1,380.25,19096-3827,Wynnewood,
2024-11-25,BXCL1786,1,578.25,02893-1986,West Warwick,
2024-11-25,BXCM5355,1,15.0,07928-1304,Chatham,SP
2024-11-25,BXCM5372,1,15.0,07928-1304,Chatham,SP
2024-11-25,BXCM5368,1,15.0,07928-1304,Chatham,SP
2024-11-25,BXCM1617,1,796.05,T1S 3L7,Foothills,
2024-11-25,BXCM5157,1,1032.33,56013-7408,Blue Earth,
2024-11-25,BXCM3778,1,721.8,70471-1788,Mandeville,
2024-11-26,BXCM3765,1,716.85,01773,Lincoln,
2024-11-26,BXCM3765,1,895.05,01773,Lincoln,
2024-11-26,BXCM4487,1,449.55,78746-1562,Austin,B2B
2024-11-26,BXCM5155,1,499.05,36350-7059,Midland City,
2024-11-26,BXCL1641,1,627.75,21122-4541,Pasadena,
2024-11-26,BXCM3906,1,815.85,89061-7559,Pahrump,B2B
2024-11-27,BXCM3765,1,1013.85,83112,Bedford,B2B
2024-11-27,BXCM4774,1,954.45,29170-2272,West Columbia,
2024-11-27,BXCM5157,1,938.83,87571-6856,Taos,
2024-11-27,BXCL1641,6,895.5,78701-4646,Austin,B2B
2024-11-27,BXCM3765,1,1013.85,07719-4105,Wall Township,
2024-11-27,BXCM3776,1,340.65,90275-6151,Rancho Palos Verdes,
2024-11-27,BXCM1639,1,499.05,32210-8322,Jacksonville,B2B
2024-11-28,BXCM4244,1,370.35,01742-2911,Concord,
2024-11-28,BXCM4492,1,1023.75,06759-2421,Litchfield,
2024-11-28,BXCM1640,1,256.5,32210-8322,Jacksonville,B2B
2024-11-28,BXCM1640,1,256.5,32210-8322,Jacksonville,B2B
2024-11-28,BXCM4242,1,444.6,37220-1817,Nashville,
2024-11-29,BXCM3765,2,716.85,15143-9003,Sewickley,
2024-11-29,BXCM3765,1,895.05,15143-9003,Sewickley,
2024-11-29,BXCM1653,1,1083.15,29412-4261,Charleston,
2024-11-29,BXCM4534,1,1023.75,29572-6053,Myrtle Beach,B2B
2024-11-29,BXCM1784,1,380.25,46804-1837,Fort Wayne,
2024-11-29,BXCM4493,1,627.75,34996-1949,Stuart,
2024-11-29,BXCM5157,1,1006.1,03237-4352,Gilmanton,B2B
2024-11-29,BXCM3686,1,875.25,99352-5583,Richland,
2024-11-29,BXCM5157,1,1032.33,30318-2634,Atlanta,
2024-11-29,BXCM5361,1,15.0,06117-1016,West Hartford,SP
2024-11-29,BXCM5351,1,15.0,06117-1016,West Hartford,SP
2024-11-29,BXCM5157,1,1032.33,66206-1309,Leawood,
2024-11-29,BXCM5375,1,15.0,35244,Hoover,SP
2024-11-29,BXCM5361,1,15.0,35244,Hoover,SP
2024-11-29,BXCM4486,1,390.15,34108,Naples,
2024-11-29,BXCM1784,1,380.25,29206,Columbia,
2024-11-29,BXCM1783,1,330.75,28227-8227,Mint Hill,
2024-11-29,BXCM4596,1,390.15,33178-1005,Medley,
2024-11-30,BXCM4536,1,664.5,32459,Santa Rosa Beach,B2B
2024-11-30,BXCM5114,1,1182.15,27927-9654,Corolla,B2B
2024-11-30,BXCM4491,1,944.55,28803-1951,Asheville,
2024-11-30,BXCM5138,1,306.0,32803-3914,Orlando,
2024-11-30,BXCM1653,1,1083.15,28461-9087,Southport,
2024-11-30,BXCM5360,1,15.0,11743-9747,Lloyd Harbor,SP
2024-11-30,BXCM5375,1,15.0,11743-9747,Lloyd Harbor,SP
2024-11-30,BXCM5353,1,15.0,11743-9747,Lloyd Harbor,SP
2024-11-30,BXCM4593,1,424.8,30318-1717,Atlanta,
2024-11-30,BXCM5157,1,938.83,03064-1938,Nashua,
2024-11-30,BXCM4491,1,944.55,33435-6406,Boynton Beach,
2024-11-30,BXCL1408,1,271.35,20854,Potomac,
2024-11-30,BXCM5157,1,938.83,77707,Beaumont,
2024-12-01,BXCM5373,1,15.0,01507-1303,Charlton,SP
2024-12-01,BXCL1641,1,805.95,84124-2058,Holladay,
2024-12-01,BXCM4608,1,716.85,06460-7876,Milford,B2B
2024-12-01,BXCM4491,1,944.55,95003-5606,Aptos,B2B
2024-12-01,BXCM5157,1,1032.33,92662-1032,Newport Beach,
2024-12-01,BXCM3765,1,895.05,27298-9096,Liberty,
2024-12-01,BXCM5363,1,15.0,76107-2465,Fort Worth,SP
2024-12-01,BXCM5357,1,15.0,76107-2465,Fort Worth,SP
2024-12-01,BXCM5373,1,15.0,76107-2465,Fort Worth,SP
2024-12-01,BXCM5365,1,15.0,76107-2465,Fort Worth,SP
2024-12-01,BXCM5366,1,15.0,76107-2465,Fort Worth,SP
2024-12-01,BXCM5372,1,15.0,76107-2465,Fort Worth,SP
2024-12-01,BXCM3765,1,895.05,11713,bellport,
2024-12-01,BXCM5155,1,400.05,19707,Hockessin,B2B
2024-12-01,BXCM5375,1,15.0,19047-8233,Langhorne,SP
2024-12-01,BXCM5369,1,15.0,19047-8233,Langhorne,SP
2024-12-01,BXCL1562,1,390.15,93950-5540,Pacific Grove,
2024-12-02,BXCM5375,1,15.0,10013-4075,New York,SP
2024-12-02,BXCM5361,1,15.0,10013-4075,New York,SP
2024-12-02,BXCM4472,1,1023.75,05656-4458,Johnson,B2B
2024-12-02,BXCM4244,1,444.6,11576-2514,Roslyn,
2024-12-02,BXCM4486,1,390.15,34102-7112,Naples,
2024-12-02,BXCM1653,1,1083.15,63130-4034,University City,B2B
2024-12-02,BXCM5157,1,1032.33,72762-4231,Springdale,B2B
2024-12-02,BXCM3934,1,746.55,07090-3018,Westfield,
2024-12-02,BXCM4592,1,478.8,34638-6927,Land O Lakes,
2024-12-02,BXCM1751,4,286.2,34638-6927,Land O Lakes,
2024-12-02,BXCL1772,2,306.0,34638-6927,Land O Lakes,
2024-12-02,BXCM5157,1,1032.33,90019-5935,Los Angeles,B2B
2024-12-02,BXCM4491,1,944.55,33480,Palm Beach,
2024-12-02,BXCM4257,1,1043.55,L7L 5L2,Burlington,
2024-12-02,BXCM4493,1,627.75,72543-7615,Heber Springs,
2024-12-03,BXCM5528,1,2112.75,22314-3544,Alexandria,
2024-12-03,BXCM4244,1,494.1,29464-2677,Mount Pleasant,
2024-12-03,BXCM5157,1,1032.33,07885-1640,Wharton,B2B
2024-12-03,BXCM3765,1,1013.85,07885-1640,Wharton,B2B
2024-12-03,BXCM5157,1,938.83,66206-2551,Leawood,B2B
2024-12-03,BXCM3765,2,895.05,23063-3925,Goochland,
2024-12-03,BXCM4493,1,627.75,33480-3731,Palm Beach,
2024-12-03,BXCM1783,1,330.75,06525-2513,Woodbridge,
2024-12-03,BXCM3765,1,895.05,23608-0926,Newport News,B2B
2024-12-03,BXCM5032,4,513.9,83001-8992,Jackson,
2024-12-03,BXCM4486,2,390.15,02025-1147,Cohasset,
2024-12-03,BXCM4486,2,390.15,77024,Houston,
2024-12-03,BXCM4292,1,2201.85,07416-2134,Franklin,B2B
2024-12-03,BXCM4493,1,627.75,10708-1803,BRONXVILLE,B2B
2024-12-04,BXCM5155,1,499.05,07726-8821,Manalapan,
2024-12-04,BXCM4774,1,835.65,14103-9666,Medina,
2024-12-04,BXCM3765,1,1126.5,43025-9303,Hebron,
2024-12-04,BXCM4774,1,875.25,77043-4123,Houston,
2024-12-04,BXCL1556,1,1082.5,95864-4928,Sacramento,
2024-12-04,BXCM5157,1,1214.5,84042-2223,Lindon,
2024-12-04,BXCM5365,1,15.0,37801-8511,Maryville,SP
2024-12-05,BXCM4489,1,1011.0,33304-3635,Oakland Park,B2B
2024-12-05,BXCM4783,1,807.5,34104-4998,Naples,B2B
2024-12-05,BXCL1641,1,763.5,29486-2184,Summerville,B2B
2024-12-05,BXCM5157,1,1214.5,90065-1321,Los Angeles,B2B
2024-12-05,BXCM1783,1,367.5,08360-2218,Vineland,
2024-12-06,BXCM4608,1,846.0,48755-9675,Pigeon,
2024-12-06,BXCL1784,1,554.5,78006-2015,Boerne,B2B
2024-12-06,BXCM5369,1,15.0,34212-5112,Bradenton,SP
2024-12-06,BXCM5369,1,15.0,33606-3840,Tampa,SP
2024-12-06,BXCM3765,1,1126.5,48307-1915,Rochester,B2B
2024-12-07,BXCM3765,1,994.5,06890-1062,Southport,
2024-12-07,BXCL1646,2,1132.0,06830-6701,Greenwich,
2024-12-07,BXCM5369,1,15.0,07740-7470,Long Branch,SP
2024-12-07,BXCM3778,2,752.5,07023-1626,Fanwood,B2B
2024-12-07,BXCM4079,1,2771.0,54754-8037,Merrillan,
2024-12-07,BXCM5157,1,1006.1,22727-4160,Madison,
2024-12-07,BXCM5371,1,15.0,02324-2573,Bridgewater,SP
2024-12-07,BXCM5353,1,15.0,02324-2573,Bridgewater,SP
2024-12-07,BXCM5367,1,15.0,02324-2573,Bridgewater,SP
2024-12-08,BXCM3797,1,1192.5,33442-8626,Deerfield Beach,
2024-12-09,BXCM5360,1,15.0,60613,Chicago,SP
2024-12-09,BXCM5353,1,15.0,60613,Chicago,SP
2024-12-09,BXCM5365,1,15.0,60613,Chicago,SP
2024-12-09,BXCM5373,1,15.0,60613,Chicago,SP
2024-12-09,BXCM5367,1,15.0,60613,Chicago,SP
2024-12-09,BXCM5369,1,15.0,60613,Chicago,SP
2024-12-09,BXCM5368,1,15.0,60613,Chicago,SP
2024-12-09,BXCM4525,1,312.5,02906,PROVIDENCE,
2024-12-09,BXCM2362,1,139.75,46703,Angola,
2024-12-09,BXCM4491,1,1049.5,07644-2878,Lodi,B2B
2024-12-09,BXCM5360,1,15.0,89413,Glenbrook,SP
2024-12-09,BXCM5579,1,0.0,89413,Glenbrook,SP
2024-12-09,BXCM5581,1,0.0,89413,Glenbrook,SP
2024-12-09,BXCM5375,1,15.0,89413,Glenbrook,SP
2024-12-09,BXCM4493,1,697.5,90036-2504,Los Angeles,B2B
2024-12-10,BXCM1783,1,367.5,33928-8919,Estero,
2024-12-10,BXCM1782,2,279.5,33928-8919,Estero,
2024-12-10,BXCM1792,1,1159.5,31522,St Simons Island,
2024-12-10,BXCM1651,1,1143.0,83001-8632,JACKSON,B2B
2024-12-10,BXCM1617,1,884.5,70032-1934,Arabi,
2024-12-10,BXCM3690,1,642.5,33040-7133,Key West,B2B
2024-12-10,BXCM1633,1,290.5,33040-7133,Key West,B2B
2024-12-11,BXCM1656,1,241.0,33458-2453,JUPITER,B2B
2024-12-11,BXCM3765,1,994.5,50266-1288,West Des Moines,
2024-12-11,BXCL1562,1,433.5,22801-5404,Harrisonburg,
2024-12-11,BXCL1556,1,1170.5,22801-5404,Harrisonburg,
2024-12-11,BXCM5140,1,775.0,70808-4209,Baton Rouge,B2B
2024-12-11,BXCM5421,1,494.0,33432-3934,Boca Raton,B2B
2024-12-11,BXCM5421,1,494.0,34243-4165,Sarasota,B2B
2024-12-11,BXCM5421,1,494.0,34108-2899,Naples,B2B
2024-12-11,BXCM5421,1,494.0,33607-7229,Tampa,B2B
2024-12-12,BXCL1783,1,763.5,32210-6016,Jacksonville,
2024-12-12,BXCM4493,1,697.5,02766-2493,Norton,B2B
2024-12-12,BXCM5387,1,928.5,77355-1996,Magnolia,
2024-12-12,BXCM4494,1,1214.5,32082-4615,Ponte Vedra Beach,
2024-12-13,BXCM3690,1,642.5,07458,Saddle River,
2024-12-13,BXCM1650,1,697.5,33401-7345,West Palm Beach,
2024-12-14,BXCM5155,1,444.5,33770-1304,Belleair Bluffs,
2024-12-15,BXCM4490,1,384.0,33037-3714,Key Largo,
2024-12-15,BXCM4490,1,373.0,33037-3714,Key Largo,
2024-12-15,BXCM5360,1,15.0,20147-5620,Ashburn,SP
2024-12-15,BXCM5353,1,15.0,20147-5620,Ashburn,SP
2024-12-15,BXCM5375,1,15.0,20147-5620,Ashburn,SP
2024-12-16,BXCM2362,1,139.75,76051-3703,Grapevine,B2B
2024-12-17,BXCM5579,1,0.0,04562-4416,Phippsburg,SP
2024-12-17,BXCM5581,1,0.0,04562-4416,Phippsburg,SP
2024-12-17,BXCM5360,1,15.0,C1N 6H5,Summerside,SP
2024-12-17,BXCM5366,1,15.0,C1N 6H5,Summerside,SP
2024-12-17,BXCM1653,1,1203.5,29464-5554,Mount Pleasant,
2024-12-17,BXCM5157,1,1214.5,37027-8901,Brentwood,B2B
2024-12-18,BXCM5068,2,807.5,02766-2493,Norton,B2B
2024-12-18,BXCM5375,1,15.0,15052-1605,Industry,SP
2024-12-18,BXCM1650,2,697.5,76226-6868,Bartonville,
2024-12-18,BXCM4216,1,967.0,15217-4500,Pittsburgh,
2024-12-19,BXCL1781,2,851.5,19147-5839,Philadelphia,
2024-12-19,BXCM5416,1,873.5,34108-2899,Naples,B2B
2024-12-19,BXCM5157,1,1214.5,78642-2038,Liberty Hill,
2024-12-20,BXCM1614,6,230.0,33957-7016,Sanibel,
2024-12-21,BXCM1652,1,1022.0,11932-1086,Bridgehampton,B2B
2024-12-21,BXCM2360,1,378.5,34135-3429,Bonita Springs,
2024-12-21,BXCM5155,2,334.5,34108-8275,Naples,
2024-12-22,BXCM5043,1,0.0,01440-2362,Gardner,SP
2024-12-22,BXCM5361,1,15.0,71107-9701,Shreveport,SP
2024-12-22,BXCM5375,1,15.0,71107-9701,Shreveport,SP
2024-12-22,BXCM5157,1,1214.5,98498-1209,Lakewood,
2024-12-22,BXCM5157,1,1214.5,71107-9701,Shreveport,
2024-12-23,BXCM5367,1,15.0,63301-8482,St Charles,SP
2024-12-23,BXCM5153,1,550.0,07608-1138,Teterboro,B2B
2024-12-24,BXCM5367,1,15.0,37205-4524,Nashville,SP
2024-12-24,BXCM4062,1,2567.5,M4Y 2T3,Toronto,
2024-12-25,BXCM5157,1,1104.5,11215-1405,Brooklyn,
2024-12-26,BXCL1175,1,355.5,92866-1738,Orange,
2024-12-26,BXCL1556,2,855.45,70435-2215,Covington,B2B
2024-12-26,BXCM1617,1,796.05,44321-1495,copley,
2024-12-26,BXCL1265,2,647.55,75036-8211,FRISCO,B2B
2024-12-27,BXCM5403,1,508.95,90210-2402,Beverly Hills,
2024-12-27,BXCM5375,1,15.0,60030-4006,Grayslake,SP
2024-12-27,BXCL1150,1,256.5,78023-4711,Helotes,
2024-12-27,BXCL1149,1,221.85,78023-4711,Helotes,
2024-12-27,BXCM5371,1,15.0,30577-1842,Toccoa,SP
2024-12-27,BXCM5372,1,15.0,30577-1842,Toccoa,SP
2024-12-27,BXCM3778,1,721.8,79705-1835,Midland,
2024-12-27,BXCL1292,1,1157.4,19606,Reading,
2024-12-27,BXCM5375,1,15.0,84092-4944,Sandy,SP
2024-12-27,BXCM1784,1,380.25,33921-0566,Boca Grande,
2024-12-28,BXCM3765,1,895.05,19958-6542,Lewes,
2024-12-28,BXCM5351,1,15.0,07677,Woodcliff Lake,SP
2024-12-28,BXCM5157,1,1093.05,06355-2336,Mystic,
2024-12-28,BXCM4492,1,1023.75,02052-1929,Medfield,
2024-12-28,BXCM4494,1,1093.05,02052-1929,Medfield,
2024-12-29,BXCM5353,1,15.0,C1N 6H5,Summerside,SP
2024-12-29,BXCM4528,1,182.25,30606,athens,
2024-12-29,BXCM5350,1,15.0,37215-1052,Nashville,SP
2024-12-29,BXCM5355,1,15.0,37215-1052,Nashville,SP
2024-12-29,BXCL1641,1,805.95,60421-9552,Elwood,
2024-12-29,BXCM5387,1,627.75,37209-4548,Nashville,B2B
2024-12-29,BXCM4592,1,543.6,93536-6052,Lancaster,B2B
2024-12-29,BXCM3934,1,835.65,34242-1427,Siesta Key,B2B
2024-12-29,BXCM5367,1,15.0,20854-4270,Potomac,SP
2024-12-30,BXCM4528,1,182.25,95661-3980,ROSEVILLE,
2024-12-30,BXCM1783,1,330.75,77019-6108,Houston,
2024-12-30,BXCM5157,1,994.05,54235-1831,Sturgeon Bay,
2024-12-30,BXCM1778,1,1073.25,06250,Mansfield Center,
2024-12-30,BXCM5098,1,508.95,29464-3865,Mount Pleasant,
2024-12-30,BXCM1783,1,330.75,19087-2109,Wayne,
2024-12-30,BXCM5361,1,15.0,75147-4536,Mabank,SP
2024-12-30,BXCM5580,1,0.0,75147-4536,Mabank,SP
2024-12-30,BXCM5375,1,15.0,75147-4536,Mabank,SP
2024-12-30,BXCL1786,1,578.25,75205-1628,Dallas,
2024-12-30,BXCL1740,1,875.25,75205-1628,Dallas,
2024-12-30,BXCM4244,1,444.6,65201,Columbia,
2024-12-30,BXCM5581,1,0.0,06840,New Canaan,SP
2024-12-30,BXCM5360,1,15.0,06840,New Canaan,SP
2024-12-30,BXCM5579,1,0.0,06840,New Canaan,SP
2024-12-30,BXCM4489,1,909.9,19930,Bethany Beach,
2024-12-30,BXCM4489,1,751.5,19930,Bethany Beach,
2024-12-31,BXCL1511,1,875.25,22901-4037,Charlottesville,
2024-12-31,BXCM4491,1,944.55,08742-5508,Point Pleasant,
2024-12-31,BXCM1742,1,200.8,34114-8764,Naples,
2024-12-31,BXCM5155,1,499.05,06039-2536,Lakeville,
2024-12-31,BXCM3686,1,825.75,15228-1112,Pittsburgh,
2024-12-31,BXCM5361,1,15.0,65203-2714,Columbia,SP
2024-12-31,BXCM5350,1,15.0,65203-2714,Columbia,SP
2024-12-31,BXCM5375,1,15.0,65203-2714,Columbia,SP
2024-12-31,BXCM5353,1,15.0,65203-2714,Columbia,SP
2024-12-31,BXCM5348,1,15.0,65203-2714,Columbia,SP
2024-12-31,BXCM5355,1,15.0,65203-2714,Columbia,SP
2024-12-31,BXCM1656,1,216.9,33404-5913,Riviera Beach,B2B
2024-12-31,BXCM1655,1,1048.5,11763-1616,Medford,
2024-12-31,BXCM1655,1,850.5,34217-1216,Holmes Beach,
2024-12-31,BXCM1792,1,1172.25,34217-1216,Holmes Beach,
2024-12-31,BXCM5456,1,726.75,59860-6820,Polson,
2024-12-31,BXCM5351,1,15.0,10710-2321,Yonkers,SP
2024-12-31,BXCM4265,1,603.0,28016,Bessemer City,
2024-12-31,BXCM4242,1,414.9,28016,Bessemer City,
2025-01-01,BXCM3765,2,994.5,30277,Sharpsburg,
2025-01-01,BXCM3765,2,994.5,76065-2738,Midlothian,
2025-01-02,BXCM4493,1,697.5,73401-6408,Ardmore,
2025-01-02,BXCM5157,1,1104.5,95010-2532,Capitola,
2025-01-02,BXCM5020,1,1379.5,15143-1496,Sewickley,
2025-01-02,BXCM5155,1,444.5,49423-8938,Holland,
2025-01-03,BXCM3765,1,994.5,85383-4522,Peoria,
2025-01-03,BXCL1556,1,1038.5,06820-2927,Darien,
2025-01-03,BXCL1556,1,1038.5,06820-2927,Darien,
2025-01-04,BXCL1562,1,433.5,33761,Clearwater,
2025-01-04,BXCL1268,1,862.5,33761,Clearwater,
2025-01-04,BXCL1268,1,862.5,33761,Clearwater,
2025-01-04,BXCM5349,1,15.0,34112,Naples,SP
