Date,sku_id,category,units sold,promotions,customers_visits,conversion_rate,unit_price,stock_in_hand,is_holiday,is_week_before_holiday
2023-12-31,1023-003/0212-83/BISQUE,Bar Stools,13,On Promotion,622,0.0209,323.0,16.0,0,0
2024-01-01,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,259,0.0193,323.0,8.0,0,0
2024-01-02,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,268,0.0187,323.0,8.0,0,0
2024-01-03,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,285,0.0175,323.0,8.0,0,0
2024-01-04,1023-003/0212-83/BISQUE,Bar Stools,4,Off Promotion,279,0.0143,323.0,7.0,0,0
2024-01-05,1023-003/0212-83/BISQUE,Bar Stools,7,Off Promotion,379,0.0185,323.0,10.0,0,0
2024-01-06,1023-003/0212-83/BISQUE,Bar Stools,13,On Promotion,364,0.0357,323.0,16.0,0,0
2024-01-07,1023-003/0212-83/BISQUE,Bar Stools,6,Off Promotion,274,0.0219,323.0,9.0,0,0
2024-01-08,1023-003/0212-83/BISQUE,Bar Stools,4,Off Promotion,193,0.0207,323.0,7.0,0,0
2024-01-09,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,309,0.0162,323.0,8.0,0,0
2024-01-10,1023-003/0212-83/BISQUE,Bar Stools,8,On Promotion,237,0.0338,323.0,11.0,0,0
2024-01-11,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,277,0.0181,323.0,8.0,0,0
2024-01-12,1023-003/0212-83/BISQUE,Bar Stools,7,Off Promotion,424,0.0165,323.0,10.0,0,0
2024-01-13,1023-003/0212-83/BISQUE,Bar Stools,7,Off Promotion,380,0.0184,323.0,10.0,0,0
2024-01-14,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,362,0.0138,323.0,8.0,0,0
2024-01-15,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,289,0.0173,323.0,8.0,0,0
2024-01-16,1023-003/0212-83/BISQUE,Bar Stools,8,On Promotion,279,0.0287,323.0,11.0,0,0
2024-01-17,1023-003/0212-83/BISQUE,Bar Stools,11,On Promotion,229,0.048,323.0,14.0,0,0
2024-01-18,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,194,0.0258,323.0,8.0,0,0
2024-01-19,1023-003/0212-83/BISQUE,Bar Stools,6,Off Promotion,541,0.0111,323.0,9.0,0,0
2024-01-20,1023-003/0212-83/BISQUE,Bar Stools,7,Off Promotion,492,0.0142,323.0,10.0,0,0
2024-01-21,1023-003/0212-83/BISQUE,Bar Stools,4,Off Promotion,169,0.0237,323.0,7.0,0,0
2024-01-22,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,323,0.0155,323.0,8.0,0,0
2024-01-23,1023-003/0212-83/BISQUE,Bar Stools,8,On Promotion,281,0.0285,323.0,11.0,0,0
2024-01-24,1023-003/0212-83/BISQUE,Bar Stools,4,Off Promotion,407,0.0098,323.0,7.0,0,1
2024-01-25,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,338,0.0148,323.0,8.0,0,1
2024-01-26,1023-003/0212-83/BISQUE,Bar Stools,7,Off Promotion,465,0.0151,323.0,10.0,0,1
2024-01-27,1023-003/0212-83/BISQUE,Bar Stools,7,Off Promotion,426,0.0164,323.0,10.0,0,1
2024-01-28,1023-003/0212-83/BISQUE,Bar Stools,10,Off Promotion,449,0.0223,323.0,13.0,0,1
2024-01-29,1023-003/0212-83/BISQUE,Bar Stools,10,On Promotion,331,0.0302,323.0,13.0,0,1
2024-01-30,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,343,0.0146,323.0,8.0,0,1
2024-01-31,1023-003/0212-83/BISQUE,Bar Stools,11,On Promotion,295,0.0373,323.0,14.0,1,0
2024-02-01,1023-003/0212-83/BISQUE,Bar Stools,6,Off Promotion,322,0.0186,323.0,9.0,0,0
2024-02-02,1023-003/0212-83/BISQUE,Bar Stools,6,Off Promotion,249,0.0241,323.0,9.0,0,0
2024-02-03,1023-003/0212-83/BISQUE,Bar Stools,6,Off Promotion,444,0.0135,323.0,9.0,0,0
2024-02-04,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,362,0.0138,323.0,8.0,0,0
2024-02-05,1023-003/0212-83/BISQUE,Bar Stools,6,Off Promotion,277,0.0217,323.0,9.0,0,0
2024-02-06,1023-003/0212-83/BISQUE,Bar Stools,6,Off Promotion,340,0.0176,323.0,9.0,0,0
2024-02-07,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,311,0.0161,323.0,8.0,0,0
2024-02-08,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,331,0.0151,323.0,8.0,0,0
2024-02-09,1023-003/0212-83/BISQUE,Bar Stools,7,Off Promotion,364,0.0192,323.0,10.0,0,0
2024-02-10,1023-003/0212-83/BISQUE,Bar Stools,6,Off Promotion,404,0.0149,323.0,9.0,0,0
2024-02-11,1023-003/0212-83/BISQUE,Bar Stools,4,Off Promotion,277,0.0144,323.0,7.0,0,0
2024-02-12,1023-003/0212-83/BISQUE,Bar Stools,11,On Promotion,375,0.0293,323.0,14.0,0,0
2024-02-13,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,256,0.0195,323.0,8.0,0,0
2024-02-14,1023-003/0212-83/BISQUE,Bar Stools,6,Off Promotion,199,0.0302,323.0,9.0,0,0
2024-02-15,1023-003/0212-83/BISQUE,Bar Stools,6,Off Promotion,398,0.0151,323.0,9.0,0,0
2024-02-16,1023-003/0212-83/BISQUE,Bar Stools,6,Off Promotion,452,0.0133,323.0,9.0,0,0
2024-02-17,1023-003/0212-83/BISQUE,Bar Stools,11,On Promotion,355,0.031,323.0,14.0,0,0
2024-02-18,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,384,0.013,323.0,8.0,0,0
2024-02-19,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,378,0.0132,323.0,8.0,0,0
2024-02-20,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,322,0.0155,323.0,8.0,0,0
2024-02-21,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,315,0.0159,323.0,8.0,0,0
2024-02-22,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,324,0.0154,323.0,8.0,0,0
2024-02-23,1023-003/0212-83/BISQUE,Bar Stools,7,Off Promotion,411,0.017,323.0,10.0,0,0
2024-02-24,1023-003/0212-83/BISQUE,Bar Stools,7,Off Promotion,349,0.0201,323.0,10.0,0,0
2024-02-25,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,267,0.0187,323.0,8.0,0,0
2024-02-26,1023-003/0212-83/BISQUE,Bar Stools,9,On Promotion,277,0.0325,323.0,12.0,0,0
2024-02-27,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,339,0.0147,323.0,8.0,0,0
2024-02-28,1023-003/0212-83/BISQUE,Bar Stools,8,On Promotion,295,0.0271,323.0,11.0,0,0
2024-02-29,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,267,0.0187,323.0,8.0,0,0
2024-03-01,1023-003/0212-83/BISQUE,Bar Stools,7,Off Promotion,345,0.0203,323.0,10.0,0,0
2024-03-02,1023-003/0212-83/BISQUE,Bar Stools,7,Off Promotion,307,0.0228,323.0,10.0,0,0
2024-03-03,1023-003/0212-83/BISQUE,Bar Stools,10,On Promotion,322,0.0311,323.0,13.0,0,0
2024-03-04,1023-003/0212-83/BISQUE,Bar Stools,6,Off Promotion,302,0.0199,323.0,9.0,0,0
2024-03-05,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,235,0.0213,323.0,8.0,0,0
2024-03-06,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,287,0.0174,323.0,8.0,0,0
2024-03-07,1023-003/0212-83/BISQUE,Bar Stools,6,Off Promotion,282,0.0213,323.0,9.0,0,0
2024-03-08,1023-003/0212-83/BISQUE,Bar Stools,6,Off Promotion,414,0.0145,323.0,9.0,0,0
2024-03-09,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,467,0.0107,323.0,8.0,0,0
2024-03-10,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,305,0.0164,323.0,8.0,0,0
2024-03-11,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,265,0.0189,323.0,8.0,0,0
2024-03-12,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,231,0.0216,323.0,8.0,0,0
2024-03-13,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,366,0.0137,323.0,8.0,0,0
2024-03-14,1023-003/0212-83/BISQUE,Bar Stools,6,Off Promotion,328,0.0183,323.0,9.0,0,0
2024-03-15,1023-003/0212-83/BISQUE,Bar Stools,6,Off Promotion,249,0.0241,323.0,9.0,0,0
2024-03-16,1023-003/0212-83/BISQUE,Bar Stools,15,On Promotion,398,0.0377,323.0,18.0,0,0
2024-03-17,1023-003/0212-83/BISQUE,Bar Stools,10,On Promotion,291,0.0344,323.0,13.0,0,0
2024-03-18,1023-003/0212-83/BISQUE,Bar Stools,9,On Promotion,298,0.0302,323.0,12.0,0,0
2024-03-19,1023-003/0212-83/BISQUE,Bar Stools,9,On Promotion,328,0.0274,323.0,12.0,0,0
2024-03-20,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,343,0.0146,323.0,8.0,0,0
2024-03-21,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,281,0.0178,323.0,8.0,0,0
2024-03-22,1023-003/0212-83/BISQUE,Bar Stools,6,Off Promotion,456,0.0132,323.0,9.0,0,0
2024-03-23,1023-003/0212-83/BISQUE,Bar Stools,6,Off Promotion,433,0.0139,323.0,9.0,0,0
2024-03-24,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,221,0.0226,323.0,8.0,0,0
2024-03-25,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,149,0.0336,323.0,8.0,0,0
2024-03-26,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,280,0.0179,323.0,8.0,0,0
2024-03-27,1023-003/0212-83/BISQUE,Bar Stools,4,Off Promotion,227,0.0176,323.0,7.0,0,0
2024-03-28,1023-003/0212-83/BISQUE,Bar Stools,4,Off Promotion,340,0.0118,323.0,7.0,0,0
2024-03-29,1023-003/0212-83/BISQUE,Bar Stools,7,Off Promotion,490,0.0143,323.0,10.0,0,0
2024-03-30,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,343,0.0146,323.0,8.0,0,0
2024-03-31,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,280,0.0179,323.0,8.0,0,0
2024-04-01,1023-003/0212-83/BISQUE,Bar Stools,11,On Promotion,290,0.0379,323.0,14.0,0,0
2024-04-02,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,285,0.0175,323.0,8.0,0,0
2024-04-03,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,278,0.018,323.0,8.0,0,0
2024-04-04,1023-003/0212-83/BISQUE,Bar Stools,10,On Promotion,280,0.0357,323.0,13.0,0,0
2024-04-05,1023-003/0212-83/BISQUE,Bar Stools,6,Off Promotion,327,0.0183,323.0,9.0,0,0
2024-04-06,1023-003/0212-83/BISQUE,Bar Stools,7,Off Promotion,224,0.0312,323.0,10.0,0,0
2024-04-07,1023-003/0212-83/BISQUE,Bar Stools,7,On Promotion,304,0.023,323.0,10.0,0,0
2024-04-08,1023-003/0212-83/BISQUE,Bar Stools,11,On Promotion,335,0.0328,323.0,14.0,0,0
2024-04-09,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,304,0.0164,323.0,8.0,0,0
2024-04-10,1023-003/0212-83/BISQUE,Bar Stools,13,On Promotion,298,0.0436,323.0,16.0,0,0
2024-04-11,1023-003/0212-83/BISQUE,Bar Stools,10,On Promotion,291,0.0344,323.0,13.0,0,0
2024-04-12,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,296,0.0169,323.0,8.0,0,0
2024-04-13,1023-003/0212-83/BISQUE,Bar Stools,6,Off Promotion,340,0.0176,323.0,9.0,0,0
2024-04-14,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,281,0.0178,323.0,8.0,0,0
2024-04-15,1023-003/0212-83/BISQUE,Bar Stools,9,On Promotion,297,0.0303,323.0,12.0,0,0
2024-04-16,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,320,0.0156,323.0,8.0,0,0
2024-04-17,1023-003/0212-83/BISQUE,Bar Stools,6,Off Promotion,267,0.0225,323.0,9.0,0,0
2024-04-18,1023-003/0212-83/BISQUE,Bar Stools,6,Off Promotion,314,0.0191,323.0,9.0,0,0
2024-04-19,1023-003/0212-83/BISQUE,Bar Stools,6,Off Promotion,324,0.0185,323.0,9.0,0,0
2024-04-20,1023-003/0212-83/BISQUE,Bar Stools,6,Off Promotion,441,0.0136,323.0,9.0,0,0
2024-04-21,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,314,0.0159,323.0,8.0,0,0
2024-04-22,1023-003/0212-83/BISQUE,Bar Stools,6,Off Promotion,387,0.0155,323.0,9.0,0,0
2024-04-23,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,383,0.0131,323.0,8.0,0,0
2024-04-24,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,250,0.02,323.0,8.0,0,0
2024-04-25,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,319,0.0157,323.0,8.0,0,0
2024-04-26,1023-003/0212-83/BISQUE,Bar Stools,6,Off Promotion,388,0.0155,323.0,9.0,0,0
2024-04-27,1023-003/0212-83/BISQUE,Bar Stools,11,On Promotion,443,0.0248,323.0,14.0,0,0
2024-04-28,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,275,0.0182,323.0,8.0,0,0
2024-04-29,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,257,0.0195,323.0,8.0,0,0
2024-04-30,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,313,0.016,323.0,8.0,0,0
2024-05-01,1023-003/0212-83/BISQUE,Bar Stools,9,On Promotion,331,0.0272,323.0,12.0,0,1
2024-05-02,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,171,0.0292,323.0,8.0,0,1
2024-05-03,1023-003/0212-83/BISQUE,Bar Stools,6,Off Promotion,285,0.0211,323.0,9.0,0,1
2024-05-04,1023-003/0212-83/BISQUE,Bar Stools,7,Off Promotion,455,0.0154,323.0,10.0,0,1
2024-05-05,1023-003/0212-83/BISQUE,Bar Stools,10,Off Promotion,488,0.0205,323.0,13.0,0,1
2024-05-06,1023-003/0212-83/BISQUE,Bar Stools,4,Off Promotion,229,0.0175,323.0,7.0,0,1
2024-05-07,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,347,0.0144,323.0,8.0,0,1
2024-05-08,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,251,0.0199,323.0,8.0,1,0
2024-05-09,1023-003/0212-83/BISQUE,Bar Stools,9,On Promotion,327,0.0275,323.0,12.0,0,0
2024-05-10,1023-003/0212-83/BISQUE,Bar Stools,6,Off Promotion,421,0.0143,323.0,9.0,0,0
2024-05-11,1023-003/0212-83/BISQUE,Bar Stools,12,On Promotion,411,0.0292,323.0,15.0,0,0
2024-05-12,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,286,0.0175,323.0,8.0,0,0
2024-05-13,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,259,0.0193,323.0,8.0,0,0
2024-05-14,1023-003/0212-83/BISQUE,Bar Stools,12,On Promotion,259,0.0463,323.0,15.0,0,0
2024-05-15,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,212,0.0236,323.0,8.0,0,0
2024-05-16,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,310,0.0161,323.0,8.0,0,0
2024-05-17,1023-003/0212-83/BISQUE,Bar Stools,11,On Promotion,349,0.0315,323.0,14.0,0,0
2024-05-18,1023-003/0212-83/BISQUE,Bar Stools,7,Off Promotion,398,0.0176,323.0,10.0,0,0
2024-05-19,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,296,0.0169,323.0,8.0,0,0
2024-05-20,1023-003/0212-83/BISQUE,Bar Stools,8,On Promotion,321,0.0249,323.0,11.0,0,0
2024-05-21,1023-003/0212-83/BISQUE,Bar Stools,12,On Promotion,227,0.0529,323.0,15.0,0,0
2024-05-22,1023-003/0212-83/BISQUE,Bar Stools,12,On Promotion,289,0.0415,323.0,15.0,0,1
2024-05-23,1023-003/0212-83/BISQUE,Bar Stools,6,Off Promotion,263,0.0228,323.0,9.0,0,1
2024-05-24,1023-003/0212-83/BISQUE,Bar Stools,7,Off Promotion,299,0.0234,323.0,10.0,0,1
2024-05-25,1023-003/0212-83/BISQUE,Bar Stools,7,Off Promotion,433,0.0162,323.0,10.0,0,1
2024-05-26,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,321,0.0156,323.0,8.0,0,1
2024-05-27,1023-003/0212-83/BISQUE,Bar Stools,10,On Promotion,327,0.0306,323.0,13.0,0,1
2024-05-28,1023-003/0212-83/BISQUE,Bar Stools,4,Off Promotion,305,0.0131,323.0,7.0,0,1
2024-05-29,1023-003/0212-83/BISQUE,Bar Stools,22,On Promotion,890,0.0247,323.0,25.0,1,0
2024-05-30,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,399,0.0125,323.0,8.0,0,0
2024-05-31,1023-003/0212-83/BISQUE,Bar Stools,13,On Promotion,263,0.0494,323.0,16.0,0,0
2024-06-01,1023-003/0212-83/BISQUE,Bar Stools,13,On Promotion,361,0.036,323.0,16.0,0,0
2024-06-02,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,290,0.0172,323.0,8.0,0,0
2024-06-03,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,301,0.0166,323.0,8.0,0,0
2024-06-04,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,305,0.0164,323.0,8.0,0,0
2024-06-05,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,304,0.0164,323.0,8.0,0,0
2024-06-06,1023-003/0212-83/BISQUE,Bar Stools,11,On Promotion,345,0.0319,323.0,14.0,0,1
2024-06-07,1023-003/0212-83/BISQUE,Bar Stools,10,On Promotion,389,0.0257,323.0,13.0,0,1
2024-06-08,1023-003/0212-83/BISQUE,Bar Stools,7,Off Promotion,374,0.0187,323.0,10.0,0,1
2024-06-09,1023-003/0212-83/BISQUE,Bar Stools,4,Off Promotion,299,0.0134,323.0,7.0,0,1
2024-06-10,1023-003/0212-83/BISQUE,Bar Stools,6,Off Promotion,349,0.0172,323.0,9.0,0,1
2024-06-11,1023-003/0212-83/BISQUE,Bar Stools,6,Off Promotion,225,0.0267,323.0,9.0,0,1
2024-06-12,1023-003/0212-83/BISQUE,Bar Stools,12,On Promotion,282,0.0426,323.0,15.0,0,1
2024-06-13,1023-003/0212-83/BISQUE,Bar Stools,16,On Promotion,656,0.0244,323.0,19.0,1,0
2024-06-14,1023-003/0212-83/BISQUE,Bar Stools,11,On Promotion,402,0.0274,323.0,14.0,0,0
2024-06-15,1023-003/0212-83/BISQUE,Bar Stools,7,Off Promotion,361,0.0194,323.0,10.0,0,0
2024-06-16,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,351,0.0142,323.0,8.0,0,0
2024-06-17,1023-003/0212-83/BISQUE,Bar Stools,10,On Promotion,206,0.0485,323.0,13.0,0,0
2024-06-18,1023-003/0212-83/BISQUE,Bar Stools,10,On Promotion,265,0.0377,323.0,13.0,0,0
2024-06-19,1023-003/0212-83/BISQUE,Bar Stools,10,On Promotion,407,0.0246,323.0,13.0,0,0
2024-06-20,1023-003/0212-83/BISQUE,Bar Stools,7,On Promotion,353,0.0198,323.0,10.0,0,0
2024-06-21,1023-003/0212-83/BISQUE,Bar Stools,6,Off Promotion,305,0.0197,323.0,9.0,0,0
2024-06-22,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,404,0.0124,323.0,8.0,0,0
2024-06-23,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,214,0.0234,323.0,8.0,0,0
2024-06-24,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,274,0.0182,323.0,8.0,0,0
2024-06-25,1023-003/0212-83/BISQUE,Bar Stools,11,On Promotion,162,0.0679,323.0,14.0,0,0
2024-06-26,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,345,0.0145,323.0,8.0,0,0
2024-06-27,1023-003/0212-83/BISQUE,Bar Stools,9,On Promotion,322,0.028,323.0,12.0,0,0
2024-06-28,1023-003/0212-83/BISQUE,Bar Stools,7,Off Promotion,408,0.0172,323.0,10.0,0,0
2024-06-29,1023-003/0212-83/BISQUE,Bar Stools,6,Off Promotion,462,0.013,323.0,9.0,0,0
2024-06-30,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,397,0.0126,323.0,8.0,0,0
2024-07-01,1023-003/0212-83/BISQUE,Bar Stools,9,On Promotion,281,0.032,323.0,12.0,0,0
2024-07-02,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,343,0.0146,323.0,8.0,0,0
2024-07-03,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,279,0.0179,323.0,8.0,0,0
2024-07-04,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,422,0.0118,323.0,8.0,0,0
2024-07-05,1023-003/0212-83/BISQUE,Bar Stools,7,Off Promotion,474,0.0148,323.0,10.0,0,0
2024-07-06,1023-003/0212-83/BISQUE,Bar Stools,7,Off Promotion,358,0.0196,323.0,10.0,0,0
2024-07-07,1023-003/0212-83/BISQUE,Bar Stools,9,On Promotion,294,0.0306,323.0,12.0,0,0
2024-07-08,1023-003/0212-83/BISQUE,Bar Stools,4,Off Promotion,199,0.0201,323.0,7.0,0,0
2024-07-09,1023-003/0212-83/BISQUE,Bar Stools,8,On Promotion,365,0.0219,323.0,11.0,0,0
2024-07-10,1023-003/0212-83/BISQUE,Bar Stools,6,Off Promotion,382,0.0157,323.0,9.0,0,0
2024-07-11,1023-003/0212-83/BISQUE,Bar Stools,4,Off Promotion,249,0.0161,323.0,7.0,0,0
2024-07-12,1023-003/0212-83/BISQUE,Bar Stools,6,Off Promotion,443,0.0135,323.0,9.0,0,0
2024-07-13,1023-003/0212-83/BISQUE,Bar Stools,6,Off Promotion,414,0.0145,323.0,9.0,0,0
2024-07-14,1023-003/0212-83/BISQUE,Bar Stools,11,On Promotion,270,0.0407,323.0,14.0,0,0
2024-07-15,1023-003/0212-83/BISQUE,Bar Stools,6,Off Promotion,284,0.0211,323.0,9.0,0,0
2024-07-16,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,365,0.0137,323.0,8.0,0,0
2024-07-17,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,210,0.0238,323.0,8.0,0,0
2024-07-18,1023-003/0212-83/BISQUE,Bar Stools,9,On Promotion,284,0.0317,323.0,12.0,0,0
2024-07-19,1023-003/0212-83/BISQUE,Bar Stools,6,Off Promotion,380,0.0158,323.0,9.0,0,0
2024-07-20,1023-003/0212-83/BISQUE,Bar Stools,9,On Promotion,296,0.0304,323.0,12.0,0,0
2024-07-21,1023-003/0212-83/BISQUE,Bar Stools,7,On Promotion,309,0.0227,323.0,10.0,0,0
2024-07-22,1023-003/0212-83/BISQUE,Bar Stools,6,Off Promotion,257,0.0233,323.0,9.0,0,0
2024-07-23,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,321,0.0156,323.0,8.0,0,0
2024-07-24,1023-003/0212-83/BISQUE,Bar Stools,9,On Promotion,385,0.0234,323.0,12.0,0,0
2024-07-25,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,266,0.0188,323.0,8.0,0,0
2024-07-26,1023-003/0212-83/BISQUE,Bar Stools,6,Off Promotion,267,0.0225,323.0,9.0,0,0
2024-07-27,1023-003/0212-83/BISQUE,Bar Stools,7,Off Promotion,419,0.0167,323.0,10.0,0,0
2024-07-28,1023-003/0212-83/BISQUE,Bar Stools,4,Off Promotion,283,0.0141,323.0,7.0,0,0
2024-07-29,1023-003/0212-83/BISQUE,Bar Stools,4,Off Promotion,274,0.0146,323.0,7.0,0,0
2024-07-30,1023-003/0212-83/BISQUE,Bar Stools,11,On Promotion,302,0.0364,323.0,14.0,0,0
2024-07-31,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,299,0.0167,323.0,8.0,0,0
2024-08-01,1023-003/0212-83/BISQUE,Bar Stools,4,Off Promotion,204,0.0196,323.0,7.0,0,0
2024-08-02,1023-003/0212-83/BISQUE,Bar Stools,6,Off Promotion,410,0.0146,323.0,9.0,0,0
2024-08-03,1023-003/0212-83/BISQUE,Bar Stools,7,Off Promotion,336,0.0208,323.0,10.0,0,0
2024-08-04,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,221,0.0226,323.0,8.0,0,0
2024-08-05,1023-003/0212-83/BISQUE,Bar Stools,6,Off Promotion,254,0.0236,323.0,9.0,0,0
2024-08-06,1023-003/0212-83/BISQUE,Bar Stools,6,Off Promotion,308,0.0195,323.0,9.0,0,0
2024-08-07,1023-003/0212-83/BISQUE,Bar Stools,6,Off Promotion,302,0.0199,323.0,9.0,0,1
