,Date,sku_id,category,units sold,promotions,customers_visits,conversion_rate,unit_price,stock_in_hand,is_holiday,is_week_before_holiday
92,2023-04-03,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,366,0.0137,323.0,10.0,0,0
93,2023-04-04,1023-003/0212-83/BISQUE,Bar Stools,6,Off Promotion,328,0.0183,323.0,11.0,0,0
94,2023-04-05,1023-003/0212-83/BISQUE,Bar Stools,6,Off Promotion,249,0.0241,323.0,11.0,0,0
95,2023-04-06,1023-003/0212-83/BISQUE,Bar Stools,15,On Promotion,398,0.0377,323.0,20.0,0,0
96,2023-04-07,1023-003/0212-83/BISQUE,Bar Stools,10,On Promotion,291,0.0344,323.0,15.0,0,0
97,2023-04-08,1023-003/0212-83/BISQUE,Bar Stools,9,On Promotion,298,0.0302,323.0,14.0,0,0
98,2023-04-09,1023-003/0212-83/BISQUE,Bar Stools,9,On Promotion,328,0.0274,323.0,14.0,0,0
99,2023-04-10,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,343,0.0146,323.0,10.0,0,0
100,2023-04-11,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,281,0.0178,323.0,10.0,0,0
101,2023-04-12,1023-003/0212-83/BISQUE,Bar Stools,6,Off Promotion,456,0.0132,323.0,11.0,0,0
102,2023-04-13,1023-003/0212-83/BISQUE,Bar Stools,6,Off Promotion,433,0.0139,323.0,11.0,0,0
103,2023-04-14,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,221,0.0226,323.0,10.0,0,0
104,2023-04-15,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,149,0.0336,323.0,10.0,0,0
105,2023-04-16,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,280,0.0179,323.0,10.0,0,0
106,2023-04-17,1023-003/0212-83/BISQUE,Bar Stools,4,Off Promotion,227,0.0176,323.0,5.0,0,0
107,2023-04-18,1023-003/0212-83/BISQUE,Bar Stools,4,Off Promotion,340,0.0118,323.0,196.0,0,0
108,2023-04-19,1023-003/0212-83/BISQUE,Bar Stools,7,Off Promotion,490,0.0143,323.0,192.0,0,0
109,2023-04-20,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,343,0.0146,323.0,185.0,0,0
110,2023-04-21,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,280,0.0179,323.0,180.0,0,0
111,2023-04-22,1023-003/0212-83/BISQUE,Bar Stools,11,On Promotion,290,0.0379,323.0,175.0,0,0
112,2023-04-23,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,285,0.0175,323.0,164.0,0,0
113,2023-04-24,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,278,0.018,323.0,159.0,0,0
114,2023-04-25,1023-003/0212-83/BISQUE,Bar Stools,10,On Promotion,280,0.0357,323.0,154.0,0,0
115,2023-04-26,1023-003/0212-83/BISQUE,Bar Stools,6,Off Promotion,327,0.0183,323.0,144.0,0,0
116,2023-04-27,1023-003/0212-83/BISQUE,Bar Stools,7,Off Promotion,224,0.0312,323.0,138.0,0,0
117,2023-04-28,1023-003/0212-83/BISQUE,Bar Stools,7,On Promotion,304,0.023,323.0,131.0,0,0
118,2023-04-29,1023-003/0212-83/BISQUE,Bar Stools,11,On Promotion,335,0.0328,323.0,124.0,0,0
119,2023-04-30,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,304,0.0164,323.0,113.0,0,0
120,2023-05-01,1023-003/0212-83/BISQUE,Bar Stools,13,On Promotion,298,0.0436,323.0,108.0,0,0
121,2023-05-02,1023-003/0212-83/BISQUE,Bar Stools,10,On Promotion,291,0.0344,323.0,95.0,0,0
122,2023-05-03,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,296,0.0169,323.0,85.0,0,0
123,2023-05-04,1023-003/0212-83/BISQUE,Bar Stools,6,Off Promotion,340,0.0176,323.0,80.0,0,0
124,2023-05-05,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,281,0.0178,323.0,74.0,0,0
125,2023-05-06,1023-003/0212-83/BISQUE,Bar Stools,9,On Promotion,297,0.0303,323.0,69.0,0,0
126,2023-05-07,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,320,0.0156,323.0,60.0,0,0
127,2023-05-08,1023-003/0212-83/BISQUE,Bar Stools,6,Off Promotion,267,0.0225,323.0,55.0,0,0
128,2023-05-09,1023-003/0212-83/BISQUE,Bar Stools,6,Off Promotion,314,0.0191,323.0,49.0,0,0
129,2023-05-10,1023-003/0212-83/BISQUE,Bar Stools,6,Off Promotion,324,0.0185,323.0,43.0,0,0
130,2023-05-11,1023-003/0212-83/BISQUE,Bar Stools,6,Off Promotion,441,0.0136,323.0,37.0,0,0
131,2023-05-12,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,314,0.0159,323.0,31.0,0,0
132,2023-05-13,1023-003/0212-83/BISQUE,Bar Stools,6,Off Promotion,387,0.0155,323.0,26.0,0,0
133,2023-05-14,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,383,0.0131,323.0,20.0,0,0
134,2023-05-15,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,250,0.02,323.0,15.0,0,0
135,2023-05-16,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,319,0.0157,323.0,10.0,0,0
136,2023-05-17,1023-003/0212-83/BISQUE,Bar Stools,6,Off Promotion,388,0.0155,323.0,11.0,0,0
137,2023-05-18,1023-003/0212-83/BISQUE,Bar Stools,11,On Promotion,443,0.0248,323.0,16.0,0,0
138,2023-05-19,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,275,0.0182,323.0,10.0,0,0
139,2023-05-20,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,257,0.0195,323.0,10.0,0,0
140,2023-05-21,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,313,0.016,323.0,10.0,0,0
141,2023-05-22,1023-003/0212-83/BISQUE,Bar Stools,9,On Promotion,331,0.0272,323.0,14.0,0,1
142,2023-05-23,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,171,0.0292,323.0,10.0,0,1
143,2023-05-24,1023-003/0212-83/BISQUE,Bar Stools,6,Off Promotion,285,0.0211,323.0,11.0,0,1
144,2023-05-25,1023-003/0212-83/BISQUE,Bar Stools,7,Off Promotion,455,0.0154,323.0,12.0,0,1
145,2023-05-26,1023-003/0212-83/BISQUE,Bar Stools,10,Off Promotion,488,0.0205,323.0,15.0,0,1
146,2023-05-27,1023-003/0212-83/BISQUE,Bar Stools,4,Off Promotion,229,0.0175,323.0,5.0,0,1
147,2023-05-28,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,347,0.0144,323.0,200.0,0,1
148,2023-05-29,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,251,0.0199,323.0,195.0,1,0
149,2023-05-30,1023-003/0212-83/BISQUE,Bar Stools,9,On Promotion,327,0.0275,323.0,190.0,0,0
150,2023-05-31,1023-003/0212-83/BISQUE,Bar Stools,6,Off Promotion,421,0.0143,323.0,181.0,0,0
151,2023-06-01,1023-003/0212-83/BISQUE,Bar Stools,12,On Promotion,411,0.0292,323.0,175.0,0,0
152,2023-06-02,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,286,0.0175,323.0,163.0,0,0
153,2023-06-03,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,259,0.0193,323.0,158.0,0,0
154,2023-06-04,1023-003/0212-83/BISQUE,Bar Stools,12,On Promotion,259,0.0463,323.0,153.0,0,0
155,2023-06-05,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,212,0.0236,323.0,141.0,0,0
156,2023-06-06,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,310,0.0161,323.0,136.0,0,0
157,2023-06-07,1023-003/0212-83/BISQUE,Bar Stools,11,On Promotion,349,0.0315,323.0,131.0,0,0
158,2023-06-08,1023-003/0212-83/BISQUE,Bar Stools,7,Off Promotion,398,0.0176,323.0,120.0,0,0
159,2023-06-09,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,296,0.0169,323.0,113.0,0,0
160,2023-06-10,1023-003/0212-83/BISQUE,Bar Stools,8,On Promotion,321,0.0249,323.0,108.0,0,0
161,2023-06-11,1023-003/0212-83/BISQUE,Bar Stools,12,On Promotion,227,0.0529,323.0,100.0,0,0
162,2023-06-12,1023-003/0212-83/BISQUE,Bar Stools,12,On Promotion,289,0.0415,323.0,88.0,0,1
163,2023-06-13,1023-003/0212-83/BISQUE,Bar Stools,6,Off Promotion,263,0.0228,323.0,76.0,0,1
164,2023-06-14,1023-003/0212-83/BISQUE,Bar Stools,7,Off Promotion,299,0.0234,323.0,70.0,0,1
165,2023-06-15,1023-003/0212-83/BISQUE,Bar Stools,7,Off Promotion,433,0.0162,323.0,63.0,0,1
166,2023-06-16,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,321,0.0156,323.0,56.0,0,1
167,2023-06-17,1023-003/0212-83/BISQUE,Bar Stools,10,On Promotion,327,0.0306,323.0,51.0,0,1
168,2023-06-18,1023-003/0212-83/BISQUE,Bar Stools,4,Off Promotion,305,0.0131,323.0,41.0,0,1
169,2023-06-19,1023-003/0212-83/BISQUE,Bar Stools,22,On Promotion,890,0.0247,323.0,37.0,1,0
170,2023-06-20,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,399,0.0125,323.0,15.0,0,0
171,2023-06-21,1023-003/0212-83/BISQUE,Bar Stools,13,On Promotion,263,0.0494,323.0,18.0,0,0
172,2023-06-22,1023-003/0212-83/BISQUE,Bar Stools,13,On Promotion,361,0.036,323.0,18.0,0,0
173,2023-06-23,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,290,0.0172,323.0,10.0,0,0
174,2023-06-24,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,301,0.0166,323.0,10.0,0,0
175,2023-06-25,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,305,0.0164,323.0,10.0,0,0
176,2023-06-26,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,304,0.0164,323.0,10.0,0,0
177,2023-06-27,1023-003/0212-83/BISQUE,Bar Stools,11,On Promotion,345,0.0319,323.0,16.0,0,1
178,2023-06-28,1023-003/0212-83/BISQUE,Bar Stools,10,On Promotion,389,0.0257,323.0,15.0,0,1
179,2023-06-29,1023-003/0212-83/BISQUE,Bar Stools,7,Off Promotion,374,0.0187,323.0,12.0,0,1
180,2023-06-30,1023-003/0212-83/BISQUE,Bar Stools,4,Off Promotion,299,0.0134,323.0,5.0,0,1
181,2023-07-01,1023-003/0212-83/BISQUE,Bar Stools,6,Off Promotion,349,0.0172,323.0,202.0,0,1
182,2023-07-02,1023-003/0212-83/BISQUE,Bar Stools,6,Off Promotion,225,0.0267,323.0,196.0,0,1
183,2023-07-03,1023-003/0212-83/BISQUE,Bar Stools,12,On Promotion,282,0.0426,323.0,190.0,0,1
184,2023-07-04,1023-003/0212-83/BISQUE,Bar Stools,16,On Promotion,656,0.0244,323.0,178.0,1,0
185,2023-07-05,1023-003/0212-83/BISQUE,Bar Stools,11,On Promotion,402,0.0274,323.0,162.0,0,0
186,2023-07-06,1023-003/0212-83/BISQUE,Bar Stools,7,Off Promotion,361,0.0194,323.0,151.0,0,0
187,2023-07-07,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,351,0.0142,323.0,144.0,0,0
188,2023-07-08,1023-003/0212-83/BISQUE,Bar Stools,10,On Promotion,206,0.0485,323.0,139.0,0,0
189,2023-07-09,1023-003/0212-83/BISQUE,Bar Stools,10,On Promotion,265,0.0377,323.0,129.0,0,0
190,2023-07-10,1023-003/0212-83/BISQUE,Bar Stools,10,On Promotion,407,0.0246,323.0,119.0,0,0
191,2023-07-11,1023-003/0212-83/BISQUE,Bar Stools,7,On Promotion,353,0.0198,323.0,109.0,0,0
192,2023-07-12,1023-003/0212-83/BISQUE,Bar Stools,6,Off Promotion,305,0.0197,323.0,102.0,0,0
193,2023-07-13,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,404,0.0124,323.0,96.0,0,0
194,2023-07-14,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,214,0.0234,323.0,91.0,0,0
195,2023-07-15,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,274,0.0182,323.0,86.0,0,0
196,2023-07-16,1023-003/0212-83/BISQUE,Bar Stools,11,On Promotion,162,0.0679,323.0,81.0,0,0
197,2023-07-17,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,345,0.0145,323.0,70.0,0,0
198,2023-07-18,1023-003/0212-83/BISQUE,Bar Stools,9,On Promotion,322,0.028,323.0,65.0,0,0
199,2023-07-19,1023-003/0212-83/BISQUE,Bar Stools,7,Off Promotion,408,0.0172,323.0,56.0,0,0
200,2023-07-20,1023-003/0212-83/BISQUE,Bar Stools,6,Off Promotion,462,0.013,323.0,49.0,0,0
201,2023-07-21,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,397,0.0126,323.0,43.0,0,0
202,2023-07-22,1023-003/0212-83/BISQUE,Bar Stools,9,On Promotion,281,0.032,323.0,38.0,0,0
203,2023-07-23,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,343,0.0146,323.0,29.0,0,0
204,2023-07-24,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,279,0.0179,323.0,24.0,0,0
205,2023-07-25,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,422,0.0118,323.0,19.0,0,0
206,2023-07-26,1023-003/0212-83/BISQUE,Bar Stools,7,Off Promotion,474,0.0148,323.0,14.0,0,0
207,2023-07-27,1023-003/0212-83/BISQUE,Bar Stools,7,Off Promotion,358,0.0196,323.0,12.0,0,0
208,2023-07-28,1023-003/0212-83/BISQUE,Bar Stools,9,On Promotion,294,0.0306,323.0,14.0,0,0
209,2023-07-29,1023-003/0212-83/BISQUE,Bar Stools,4,Off Promotion,199,0.0201,323.0,5.0,0,0
210,2023-07-30,1023-003/0212-83/BISQUE,Bar Stools,8,On Promotion,365,0.0219,323.0,244.0,0,0
211,2023-07-31,1023-003/0212-83/BISQUE,Bar Stools,6,Off Promotion,382,0.0157,323.0,236.0,0,0
212,2023-08-01,1023-003/0212-83/BISQUE,Bar Stools,4,Off Promotion,249,0.0161,323.0,230.0,0,0
213,2023-08-02,1023-003/0212-83/BISQUE,Bar Stools,6,Off Promotion,443,0.0135,323.0,226.0,0,0
214,2023-08-03,1023-003/0212-83/BISQUE,Bar Stools,6,Off Promotion,414,0.0145,323.0,220.0,0,0
215,2023-08-04,1023-003/0212-83/BISQUE,Bar Stools,11,On Promotion,270,0.0407,323.0,214.0,0,0
216,2023-08-05,1023-003/0212-83/BISQUE,Bar Stools,6,Off Promotion,284,0.0211,323.0,203.0,0,0
217,2023-08-06,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,365,0.0137,323.0,197.0,0,0
218,2023-08-07,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,210,0.0238,323.0,192.0,0,0
219,2023-08-08,1023-003/0212-83/BISQUE,Bar Stools,9,On Promotion,284,0.0317,323.0,187.0,0,0
220,2023-08-09,1023-003/0212-83/BISQUE,Bar Stools,6,Off Promotion,380,0.0158,323.0,178.0,0,0
221,2023-08-10,1023-003/0212-83/BISQUE,Bar Stools,9,On Promotion,296,0.0304,323.0,172.0,0,0
222,2023-08-11,1023-003/0212-83/BISQUE,Bar Stools,7,On Promotion,309,0.0227,323.0,163.0,0,0
223,2023-08-12,1023-003/0212-83/BISQUE,Bar Stools,6,Off Promotion,257,0.0233,323.0,156.0,0,0
224,2023-08-13,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,321,0.0156,323.0,150.0,0,0
225,2023-08-14,1023-003/0212-83/BISQUE,Bar Stools,9,On Promotion,385,0.0234,323.0,145.0,0,0
226,2023-08-15,1023-003/0212-83/BISQUE,Bar Stools,5,Off Promotion,266,0.0188,323.0,136.0,0,0
227,2023-08-16,1023-003/0212-83/BISQUE,Bar Stools,6,Off Promotion,267,0.0225,323.0,131.0,0,0
228,2023-08-17,1023-003/0212-83/BISQUE,Bar Stools,7,Off Promotion,419,0.0167,323.0,125.0,0,0
229,2023-08-18,1023-003/0212-83/BISQUE,Bar Stools,4,Off Promotion,283,0.0141,323.0,118.0,0,0
230,2023-08-19,1023-003/0212-83/BISQUE,Bar Stools,4,Off Promotion,274,0.0146,323.0,114.0,0,0
231,2023-08-20,1023-003/0212-83/BISQUE,Bar Stools,11,On Promotion,302,0.0364,323.0,110.0,0,0
