,Date,sku_id,category,units sold,promotions,unit_price,stock_in_hand,Customer Visits,Conversion Rate,is_holiday,is_week_before_holiday
45,2023-02-15,1023-003/0212-83/BISQUE,Bar Stools,3,On Promotion,323.0,63.0,834,0.0036,0,1
46,2023-02-16,1023-003/0212-83/BISQUE,Bar Stools,1,On Promotion,323.0,60.0,275,0.0036,0,1
47,2023-02-17,1023-003/0212-83/BISQUE,Bar Stools,2,On Promotion,323.0,59.0,591,0.0034,0,1
48,2023-02-18,1023-003/0212-83/BISQUE,Bar Stools,2,On Promotion,323.0,57.0,627,0.0032,0,1
49,2023-02-19,1023-003/0212-83/BISQUE,Bar Stools,4,On Promotion,323.0,55.0,838,0.0048,0,1
50,2023-02-20,1023-003/0212-83/BISQUE,Bar Stools,3,On Promotion,323.0,51.0,896,0.0033,1,0
51,2023-02-21,1023-003/0212-83/BISQUE,Bar Stools,3,On Promotion,323.0,48.0,1295,0.0023,0,0
52,2023-02-22,1023-003/0212-83/BISQUE,Bar Stools,3,On Promotion,323.0,45.0,974,0.0031,0,0
53,2023-02-23,1023-003/0212-83/BISQUE,Bar Stools,0,On Promotion,323.0,42.0,623,0.0,0,0
54,2023-02-24,1023-003/0212-83/BISQUE,Bar Stools,1,On Promotion,323.0,42.0,199,0.005,0,0
55,2023-02-25,1023-003/0212-83/BISQUE,Bar Stools,2,On Promotion,323.0,41.0,349,0.0057,0,0
56,2023-02-26,1023-003/0212-83/BISQUE,Bar Stools,1,On Promotion,323.0,39.0,231,0.0043,0,0
57,2023-02-27,1023-003/0212-83/BISQUE,Bar Stools,1,On Promotion,323.0,38.0,494,0.002,0,0
58,2023-02-28,1023-003/0212-83/BISQUE,Bar Stools,2,On Promotion,323.0,37.0,679,0.0029,0,0
59,2023-03-01,1023-003/0212-83/BISQUE,Bar Stools,2,On Promotion,323.0,35.0,593,0.0034,0,0
60,2023-03-02,1023-003/0212-83/BISQUE,Bar Stools,3,On Promotion,323.0,33.0,728,0.0041,0,0
61,2023-03-03,1023-003/0212-83/BISQUE,Bar Stools,2,On Promotion,323.0,30.0,478,0.0042,0,0
62,2023-03-04,1023-003/0212-83/BISQUE,Bar Stools,1,On Promotion,323.0,28.0,212,0.0047,0,0
63,2023-03-05,1023-003/0212-83/BISQUE,Bar Stools,1,On Promotion,323.0,27.0,179,0.0056,0,0
64,2023-03-06,1023-003/0212-83/BISQUE,Bar Stools,1,On Promotion,323.0,26.0,225,0.0044,0,0
65,2023-03-07,1023-003/0212-83/BISQUE,Bar Stools,1,On Promotion,323.0,25.0,326,0.0031,0,0
66,2023-03-08,1023-003/0212-83/BISQUE,Bar Stools,2,On Promotion,323.0,24.0,438,0.0046,0,0
67,2023-03-09,1023-003/0212-83/BISQUE,Bar Stools,0,On Promotion,323.0,22.0,629,0.0,0,0
68,2023-03-10,1023-003/0212-83/BISQUE,Bar Stools,2,On Promotion,323.0,22.0,426,0.0047,0,0
69,2023-03-11,1023-003/0212-83/BISQUE,Bar Stools,2,On Promotion,323.0,20.0,524,0.0038,0,0
70,2023-03-12,1023-003/0212-83/BISQUE,Bar Stools,1,On Promotion,323.0,18.0,244,0.0041,0,0
71,2023-03-13,1023-003/0212-83/BISQUE,Bar Stools,5,On Promotion,323.0,17.0,1495,0.0033,0,0
72,2023-03-14,1023-003/0212-83/BISQUE,Bar Stools,4,On Promotion,323.0,12.0,1076,0.0037,0,0
73,2023-03-15,1023-003/0212-83/BISQUE,Bar Stools,1,On Promotion,323.0,8.0,270,0.0037,0,0
74,2023-03-16,1023-003/0212-83/BISQUE,Bar Stools,1,On Promotion,323.0,7.0,667,0.0015,0,0
75,2023-03-17,1023-003/0212-83/BISQUE,Bar Stools,2,On Promotion,323.0,6.0,611,0.0033,0,0
76,2023-03-18,1023-003/0212-83/BISQUE,Bar Stools,1,On Promotion,323.0,4.0,292,0.0034,0,0
77,2023-03-19,1023-003/0212-83/BISQUE,Bar Stools,1,On Promotion,323.0,3.0,497,0.002,0,0
78,2023-03-20,1023-003/0212-83/BISQUE,Bar Stools,2,On Promotion,323.0,64.0,661,0.003,0,0
79,2023-03-21,1023-003/0212-83/BISQUE,Bar Stools,3,On Promotion,323.0,62.0,822,0.0036,0,0
80,2023-03-22,1023-003/0212-83/BISQUE,Bar Stools,5,On Promotion,323.0,59.0,1257,0.004,0,0
81,2023-03-23,1023-003/0212-83/BISQUE,Bar Stools,3,On Promotion,323.0,54.0,687,0.0044,0,0
82,2023-03-24,1023-003/0212-83/BISQUE,Bar Stools,2,On Promotion,323.0,51.0,351,0.0057,0,0
83,2023-03-25,1023-003/0212-83/BISQUE,Bar Stools,1,On Promotion,323.0,49.0,235,0.0043,0,0
84,2023-03-26,1023-003/0212-83/BISQUE,Bar Stools,0,On Promotion,323.0,48.0,501,0.0,0,0
85,2023-03-27,1023-003/0212-83/BISQUE,Bar Stools,1,On Promotion,323.0,48.0,403,0.0025,0,0
86,2023-03-28,1023-003/0212-83/BISQUE,Bar Stools,4,On Promotion,323.0,47.0,1329,0.003,0,0
87,2023-03-29,1023-003/0212-83/BISQUE,Bar Stools,4,On Promotion,323.0,43.0,1823,0.0022,0,0
88,2023-03-30,1023-003/0212-83/BISQUE,Bar Stools,2,On Promotion,323.0,39.0,697,0.0029,0,0
89,2023-03-31,1023-003/0212-83/BISQUE,Bar Stools,2,On Promotion,323.0,37.0,712,0.0028,0,0
90,2023-04-01,1023-003/0212-83/BISQUE,Bar Stools,2,On Promotion,323.0,35.0,522,0.0038,0,0
91,2023-04-02,1023-003/0212-83/BISQUE,Bar Stools,3,On Promotion,323.0,33.0,662,0.0045,0,0
92,2023-04-03,1023-003/0212-83/BISQUE,Bar Stools,1,On Promotion,323.0,30.0,431,0.0023,0,0
93,2023-04-04,1023-003/0212-83/BISQUE,Bar Stools,3,On Promotion,323.0,29.0,796,0.0038,0,0
94,2023-04-05,1023-003/0212-83/BISQUE,Bar Stools,2,On Promotion,323.0,26.0,1217,0.0016,0,0
95,2023-04-06,1023-003/0212-83/BISQUE,Bar Stools,3,On Promotion,323.0,24.0,549,0.0055,0,0
96,2023-04-07,1023-003/0212-83/BISQUE,Bar Stools,2,On Promotion,323.0,21.0,710,0.0028,0,0
97,2023-04-08,1023-003/0212-83/BISQUE,Bar Stools,1,On Promotion,323.0,19.0,286,0.0035,0,0
98,2023-04-09,1023-003/0212-83/BISQUE,Bar Stools,3,On Promotion,323.0,18.0,921,0.0033,0,0
99,2023-04-10,1023-003/0212-83/BISQUE,Bar Stools,1,On Promotion,323.0,15.0,244,0.0041,0,0
100,2023-04-11,1023-003/0212-83/BISQUE,Bar Stools,0,On Promotion,323.0,14.0,550,0.0,0,0
101,2023-04-12,1023-003/0212-83/BISQUE,Bar Stools,2,On Promotion,323.0,14.0,1665,0.0012,0,0
102,2023-04-13,1023-003/0212-83/BISQUE,Bar Stools,3,On Promotion,323.0,12.0,1047,0.0029,0,0
103,2023-04-14,1023-003/0212-83/BISQUE,Bar Stools,1,On Promotion,323.0,9.0,240,0.0042,0,0
104,2023-04-15,1023-003/0212-83/BISQUE,Bar Stools,2,On Promotion,323.0,8.0,676,0.003,0,0
105,2023-04-16,1023-003/0212-83/BISQUE,Bar Stools,3,On Promotion,323.0,6.0,952,0.0032,0,0
106,2023-04-17,1023-003/0212-83/BISQUE,Bar Stools,2,On Promotion,323.0,3.0,451,0.0044,0,0
107,2023-04-18,1023-003/0212-83/BISQUE,Bar Stools,2,On Promotion,323.0,63.0,509,0.0039,0,0
108,2023-04-19,1023-003/0212-83/BISQUE,Bar Stools,0,On Promotion,323.0,61.0,720,0.0,0,0
109,2023-04-20,1023-003/0212-83/BISQUE,Bar Stools,5,On Promotion,323.0,61.0,1764,0.0028,0,0
110,2023-04-21,1023-003/0212-83/BISQUE,Bar Stools,0,On Promotion,323.0,56.0,724,0.0,0,0
111,2023-04-22,1023-003/0212-83/BISQUE,Bar Stools,3,On Promotion,323.0,56.0,708,0.0042,0,0
112,2023-04-23,1023-003/0212-83/BISQUE,Bar Stools,4,On Promotion,323.0,53.0,1353,0.003,0,0
113,2023-04-24,1023-003/0212-83/BISQUE,Bar Stools,1,On Promotion,323.0,49.0,634,0.0016,0,0
114,2023-04-25,1023-003/0212-83/BISQUE,Bar Stools,4,On Promotion,323.0,48.0,1145,0.0035,0,0
115,2023-04-26,1023-003/0212-83/BISQUE,Bar Stools,0,On Promotion,323.0,44.0,841,0.0,0,0
116,2023-04-27,1023-003/0212-83/BISQUE,Bar Stools,1,On Promotion,323.0,44.0,393,0.0025,0,0
117,2023-04-28,1023-003/0212-83/BISQUE,Bar Stools,3,On Promotion,323.0,43.0,655,0.0046,0,0
118,2023-04-29,1023-003/0212-83/BISQUE,Bar Stools,1,On Promotion,323.0,40.0,238,0.0042,0,0
119,2023-04-30,1023-003/0212-83/BISQUE,Bar Stools,3,On Promotion,323.0,39.0,648,0.0046,0,0
120,2023-05-01,1023-003/0212-83/BISQUE,Bar Stools,0,On Promotion,323.0,36.0,764,0.0,0,0
121,2023-05-02,1023-003/0212-83/BISQUE,Bar Stools,3,On Promotion,323.0,36.0,504,0.006,0,0
122,2023-05-03,1023-003/0212-83/BISQUE,Bar Stools,1,On Promotion,323.0,33.0,341,0.0029,0,0
123,2023-05-04,1023-003/0212-83/BISQUE,Bar Stools,2,On Promotion,323.0,32.0,823,0.0024,0,0
124,2023-05-05,1023-003/0212-83/BISQUE,Bar Stools,2,On Promotion,323.0,30.0,1175,0.0017,0,0
125,2023-05-06,1023-003/0212-83/BISQUE,Bar Stools,1,On Promotion,323.0,28.0,242,0.0041,0,0
126,2023-05-07,1023-003/0212-83/BISQUE,Bar Stools,1,On Promotion,323.0,27.0,239,0.0042,0,0
127,2023-05-08,1023-003/0212-83/BISQUE,Bar Stools,1,On Promotion,323.0,26.0,182,0.0055,0,0
128,2023-05-09,1023-003/0212-83/BISQUE,Bar Stools,3,On Promotion,323.0,25.0,676,0.0044,0,0
129,2023-05-10,1023-003/0212-83/BISQUE,Bar Stools,2,On Promotion,323.0,22.0,698,0.0029,0,0
130,2023-05-11,1023-003/0212-83/BISQUE,Bar Stools,2,On Promotion,323.0,20.0,624,0.0032,0,0
131,2023-05-12,1023-003/0212-83/BISQUE,Bar Stools,0,On Promotion,323.0,18.0,747,0.0,0,0
132,2023-05-13,1023-003/0212-83/BISQUE,Bar Stools,2,On Promotion,323.0,18.0,755,0.0026,0,0
133,2023-05-14,1023-003/0212-83/BISQUE,Bar Stools,5,On Promotion,323.0,16.0,2415,0.0021,0,0
134,2023-05-15,1023-003/0212-83/BISQUE,Bar Stools,1,On Promotion,323.0,11.0,261,0.0038,0,0
135,2023-05-16,1023-003/0212-83/BISQUE,Bar Stools,5,On Promotion,323.0,10.0,1473,0.0034,0,0
136,2023-05-17,1023-003/0212-83/BISQUE,Bar Stools,2,On Promotion,323.0,5.0,500,0.004,0,0
137,2023-05-18,1023-003/0212-83/BISQUE,Bar Stools,1,On Promotion,323.0,3.0,202,0.005,0,0
138,2023-05-19,1023-003/0212-83/BISQUE,Bar Stools,2,On Promotion,323.0,63.0,455,0.0044,0,0
139,2023-05-20,1023-003/0212-83/BISQUE,Bar Stools,3,On Promotion,323.0,61.0,808,0.0037,0,0
140,2023-05-21,1023-003/0212-83/BISQUE,Bar Stools,3,On Promotion,323.0,58.0,1081,0.0028,0,0
141,2023-05-22,1023-003/0212-83/BISQUE,Bar Stools,0,On Promotion,323.0,55.0,664,0.0,0,1
142,2023-05-23,1023-003/0212-83/BISQUE,Bar Stools,1,On Promotion,323.0,55.0,215,0.0047,0,1
143,2023-05-24,1023-003/0212-83/BISQUE,Bar Stools,3,On Promotion,323.0,54.0,1413,0.0021,0,1
144,2023-05-25,1023-003/0212-83/BISQUE,Bar Stools,3,On Promotion,323.0,51.0,722,0.0042,0,1
145,2023-05-26,1023-003/0212-83/BISQUE,Bar Stools,1,On Promotion,323.0,48.0,210,0.0048,0,1
146,2023-05-27,1023-003/0212-83/BISQUE,Bar Stools,0,On Promotion,323.0,47.0,571,0.0,0,1
147,2023-05-28,1023-003/0212-83/BISQUE,Bar Stools,3,On Promotion,323.0,47.0,698,0.0043,0,1
148,2023-05-29,1023-003/0212-83/BISQUE,Bar Stools,4,On Promotion,323.0,44.0,844,0.0047,1,0
149,2023-05-30,1023-003/0212-83/BISQUE,Bar Stools,1,On Promotion,323.0,40.0,251,0.004,0,0
150,2023-05-31,1023-003/0212-83/BISQUE,Bar Stools,1,On Promotion,323.0,39.0,247,0.004,0,0
151,2023-06-01,1023-003/0212-83/BISQUE,Bar Stools,1,On Promotion,323.0,38.0,256,0.0039,0,0
152,2023-06-02,1023-003/0212-83/BISQUE,Bar Stools,2,On Promotion,323.0,37.0,484,0.0041,0,0
153,2023-06-03,1023-003/0212-83/BISQUE,Bar Stools,2,On Promotion,323.0,35.0,1025,0.002,0,0
154,2023-06-04,1023-003/0212-83/BISQUE,Bar Stools,4,On Promotion,323.0,33.0,892,0.0045,0,0
155,2023-06-05,1023-003/0212-83/BISQUE,Bar Stools,1,On Promotion,323.0,29.0,288,0.0035,0,0
156,2023-06-06,1023-003/0212-83/BISQUE,Bar Stools,1,On Promotion,323.0,28.0,293,0.0034,0,0
157,2023-06-07,1023-003/0212-83/BISQUE,Bar Stools,3,On Promotion,323.0,27.0,857,0.0035,0,0
158,2023-06-08,1023-003/0212-83/BISQUE,Bar Stools,1,On Promotion,323.0,24.0,453,0.0022,0,0
159,2023-06-09,1023-003/0212-83/BISQUE,Bar Stools,1,On Promotion,323.0,23.0,242,0.0041,0,0
160,2023-06-10,1023-003/0212-83/BISQUE,Bar Stools,3,On Promotion,323.0,22.0,1066,0.0028,0,0
161,2023-06-11,1023-003/0212-83/BISQUE,Bar Stools,2,On Promotion,323.0,19.0,706,0.0028,0,0
162,2023-06-12,1023-003/0212-83/BISQUE,Bar Stools,3,On Promotion,323.0,17.0,664,0.0045,0,1
163,2023-06-13,1023-003/0212-83/BISQUE,Bar Stools,1,On Promotion,323.0,14.0,422,0.0024,0,1
164,2023-06-14,1023-003/0212-83/BISQUE,Bar Stools,4,On Promotion,323.0,13.0,1429,0.0028,0,1
165,2023-06-15,1023-003/0212-83/BISQUE,Bar Stools,4,On Promotion,323.0,9.0,800,0.005,0,1
166,2023-06-16,1023-003/0212-83/BISQUE,Bar Stools,0,On Promotion,323.0,5.0,480,0.0,0,1
167,2023-06-17,1023-003/0212-83/BISQUE,Bar Stools,1,On Promotion,323.0,5.0,197,0.0051,0,1
168,2023-06-18,1023-003/0212-83/BISQUE,Bar Stools,0,On Promotion,323.0,4.0,480,0.0,0,1
169,2023-06-19,1023-003/0212-83/BISQUE,Bar Stools,3,On Promotion,323.0,4.0,869,0.0035,1,0
170,2023-06-20,1023-003/0212-83/BISQUE,Bar Stools,1,On Promotion,323.0,60.0,249,0.004,0,0
171,2023-06-21,1023-003/0212-83/BISQUE,Bar Stools,0,On Promotion,323.0,59.0,708,0.0,0,0
172,2023-06-22,1023-003/0212-83/BISQUE,Bar Stools,1,On Promotion,323.0,59.0,343,0.0029,0,0
173,2023-06-23,1023-003/0212-83/BISQUE,Bar Stools,3,On Promotion,323.0,58.0,1096,0.0027,0,0
174,2023-06-24,1023-003/0212-83/BISQUE,Bar Stools,1,On Promotion,323.0,55.0,257,0.0039,0,0
175,2023-06-25,1023-003/0212-83/BISQUE,Bar Stools,0,On Promotion,323.0,54.0,480,0.0,0,0
176,2023-06-26,1023-003/0212-83/BISQUE,Bar Stools,2,On Promotion,323.0,54.0,674,0.003,0,0
177,2023-06-27,1023-003/0212-83/BISQUE,Bar Stools,2,On Promotion,323.0,52.0,420,0.0048,0,1
178,2023-06-28,1023-003/0212-83/BISQUE,Bar Stools,1,On Promotion,323.0,50.0,251,0.004,0,1
179,2023-06-29,1023-003/0212-83/BISQUE,Bar Stools,3,On Promotion,323.0,49.0,780,0.0038,0,1
180,2023-06-30,1023-003/0212-83/BISQUE,Bar Stools,1,On Promotion,323.0,46.0,271,0.0037,0,1
181,2023-07-01,1023-003/0212-83/BISQUE,Bar Stools,2,On Promotion,323.0,45.0,835,0.0024,0,1
182,2023-07-02,1023-003/0212-83/BISQUE,Bar Stools,2,On Promotion,323.0,43.0,481,0.0042,0,1
183,2023-07-03,1023-003/0212-83/BISQUE,Bar Stools,2,On Promotion,323.0,41.0,313,0.0064,0,1
184,2023-07-04,1023-003/0212-83/BISQUE,Bar Stools,6,On Promotion,323.0,39.0,1836,0.0033,1,0
185,2023-07-05,1023-003/0212-83/BISQUE,Bar Stools,0,On Promotion,323.0,33.0,629,0.0,0,0
186,2023-07-06,1023-003/0212-83/BISQUE,Bar Stools,2,On Promotion,323.0,33.0,530,0.0038,0,0
187,2023-07-07,1023-003/0212-83/BISQUE,Bar Stools,6,On Promotion,323.0,31.0,1199,0.005,0,0
188,2023-07-08,1023-003/0212-83/BISQUE,Bar Stools,3,On Promotion,323.0,25.0,597,0.005,0,0
189,2023-07-09,1023-003/0212-83/BISQUE,Bar Stools,3,On Promotion,323.0,22.0,1106,0.0027,0,0
190,2023-07-10,1023-003/0212-83/BISQUE,Bar Stools,2,On Promotion,323.0,19.0,367,0.0054,0,0
191,2023-07-11,1023-003/0212-83/BISQUE,Bar Stools,2,On Promotion,323.0,17.0,409,0.0049,0,0
192,2023-07-12,1023-003/0212-83/BISQUE,Bar Stools,3,On Promotion,323.0,15.0,802,0.0037,0,0
193,2023-07-13,1023-003/0212-83/BISQUE,Bar Stools,1,On Promotion,323.0,12.0,273,0.0037,0,0
194,2023-07-14,1023-003/0212-83/BISQUE,Bar Stools,1,On Promotion,323.0,11.0,629,0.0016,0,0
195,2023-07-15,1023-003/0212-83/BISQUE,Bar Stools,0,On Promotion,323.0,10.0,625,0.0,0,0
196,2023-07-16,1023-003/0212-83/BISQUE,Bar Stools,1,On Promotion,323.0,10.0,292,0.0034,0,0
197,2023-07-17,1023-003/0212-83/BISQUE,Bar Stools,1,On Promotion,323.0,9.0,548,0.0018,0,0
198,2023-07-18,1023-003/0212-83/BISQUE,Bar Stools,2,On Promotion,323.0,8.0,629,0.0032,0,0
199,2023-07-19,1023-003/0212-83/BISQUE,Bar Stools,3,On Promotion,323.0,6.0,675,0.0044,0,0
200,2023-07-20,1023-003/0212-83/BISQUE,Bar Stools,1,On Promotion,323.0,3.0,642,0.0016,0,0
201,2023-07-21,1023-003/0212-83/BISQUE,Bar Stools,1,On Promotion,323.0,54.0,321,0.0031,0,0
202,2023-07-22,1023-003/0212-83/BISQUE,Bar Stools,1,On Promotion,323.0,53.0,217,0.0046,0,0
203,2023-07-23,1023-003/0212-83/BISQUE,Bar Stools,2,On Promotion,323.0,52.0,553,0.0036,0,0
204,2023-07-24,1023-003/0212-83/BISQUE,Bar Stools,5,On Promotion,323.0,50.0,1241,0.004,0,0
205,2023-07-25,1023-003/0212-83/BISQUE,Bar Stools,1,On Promotion,323.0,45.0,210,0.0048,0,0
206,2023-07-26,1023-003/0212-83/BISQUE,Bar Stools,0,On Promotion,323.0,44.0,804,0.0,0,0
207,2023-07-27,1023-003/0212-83/BISQUE,Bar Stools,4,On Promotion,323.0,44.0,937,0.0043,0,0
208,2023-07-28,1023-003/0212-83/BISQUE,Bar Stools,2,On Promotion,323.0,40.0,712,0.0028,0,0
209,2023-07-29,1023-003/0212-83/BISQUE,Bar Stools,1,On Promotion,323.0,38.0,267,0.0037,0,0
210,2023-07-30,1023-003/0212-83/BISQUE,Bar Stools,2,On Promotion,323.0,37.0,588,0.0034,0,0
211,2023-07-31,1023-003/0212-83/BISQUE,Bar Stools,1,On Promotion,323.0,35.0,191,0.0052,0,0
212,2023-08-01,1023-003/0212-83/BISQUE,Bar Stools,2,On Promotion,323.0,34.0,586,0.0034,0,0
213,2023-08-02,1023-003/0212-83/BISQUE,Bar Stools,0,On Promotion,323.0,32.0,1008,0.0,0,0
214,2023-08-03,1023-003/0212-83/BISQUE,Bar Stools,2,On Promotion,323.0,32.0,503,0.004,0,0
215,2023-08-04,1023-003/0212-83/BISQUE,Bar Stools,1,On Promotion,323.0,30.0,244,0.0041,0,0
216,2023-08-05,1023-003/0212-83/BISQUE,Bar Stools,0,On Promotion,323.0,29.0,555,0.0,0,0
217,2023-08-06,1023-003/0212-83/BISQUE,Bar Stools,2,On Promotion,323.0,29.0,461,0.0043,0,0
218,2023-08-07,1023-003/0212-83/BISQUE,Bar Stools,2,On Promotion,323.0,27.0,477,0.0042,0,0
219,2023-08-08,1023-003/0212-83/BISQUE,Bar Stools,1,On Promotion,323.0,25.0,221,0.0045,0,0
220,2023-08-09,1023-003/0212-83/BISQUE,Bar Stools,3,On Promotion,323.0,24.0,557,0.0054,0,0
221,2023-08-10,1023-003/0212-83/BISQUE,Bar Stools,1,On Promotion,323.0,21.0,311,0.0032,0,0
222,2023-08-11,1023-003/0212-83/BISQUE,Bar Stools,1,On Promotion,323.0,20.0,397,0.0025,0,0
223,2023-08-12,1023-003/0212-83/BISQUE,Bar Stools,1,On Promotion,323.0,19.0,178,0.0056,0,0
224,2023-08-13,1023-003/0212-83/BISQUE,Bar Stools,3,On Promotion,323.0,18.0,1652,0.0018,0,0
225,2023-08-14,1023-003/0212-83/BISQUE,Bar Stools,1,On Promotion,323.0,15.0,259,0.0039,0,0
226,2023-08-15,1023-003/0212-83/BISQUE,Bar Stools,5,On Promotion,323.0,14.0,1734,0.0029,0,0
227,2023-08-16,1023-003/0212-83/BISQUE,Bar Stools,1,On Promotion,323.0,9.0,311,0.0032,0,0
228,2023-08-17,1023-003/0212-83/BISQUE,Bar Stools,2,On Promotion,323.0,8.0,357,0.0056,0,0
229,2023-08-18,1023-003/0212-83/BISQUE,Bar Stools,1,On Promotion,323.0,6.0,167,0.006,0,0
230,2023-08-19,1023-003/0212-83/BISQUE,Bar Stools,2,On Promotion,323.0,5.0,565,0.0035,0,0
231,2023-08-20,1023-003/0212-83/BISQUE,Bar Stools,6,On Promotion,323.0,11.0,1881,0.0032,0,0
232,2023-08-21,1023-003/0212-83/BISQUE,Bar Stools,1,On Promotion,323.0,5.0,147,0.0068,0,0
233,2023-08-22,1023-003/0212-83/BISQUE,Bar Stools,0,On Promotion,323.0,4.0,674,0.0,0,0
234,2023-08-23,1023-003/0212-83/BISQUE,Bar Stools,2,On Promotion,323.0,4.0,607,0.0033,0,0
